ИФ,Возраст,Сумма кредита,Средний ежемесячный доход за последние 6 мес,Ежемес. Выплаты по кредиту,Срок кредита (мес.),Кредит одобрен?
Александр Бикеров,16,750000,155000,5137,146,В кредите отказано
Илья Зуяков,17,760000,157000,5135,148,В кредите отказано
Тамара Вырубова,0,770000,159000,5133,150,В кредите отказано
Юрий Шапуткин,1,780000,161000,5132,152,В кредите отказано
Светлана Лакалина,2,790000,163000,5130,154,В кредите отказано
Елена Калегина,3,800000,165000,5128,156,В кредите отказано
Виолетта Зелковская,4,810000,167000,5127,158,В кредите отказано
Ксения Дунцова,5,820000,169000,5125,160,В кредите отказано
Вероника Мухометова,6,830000,171000,5123,162,В кредите отказано
Светлана Агафина,7,840000,173000,5122,164,В кредите отказано
Людмила Парицкая,8,850000,175000,5120,166,В кредите отказано
Николай Шлепаков,9,860000,177000,5119,168,В кредите отказано
Яков Корчакин,10,870000,179000,5118,170,В кредите отказано
Константин Гулев,11,880000,181000,5116,172,В кредите отказано
Роман Быстрягин,12,890000,183000,5115,174,В кредите отказано
Николай Ланюгин,13,900000,185000,5114,176,В кредите отказано
Раиса Айгенина,14,910000,187000,5112,178,В кредите отказано
Катерина Буценова,15,920000,189000,5111,180,В кредите отказано
Наталия Цукотская,16,930000,191000,155000,6,В кредите отказано
Евгений Боечин,17,940000,193000,117500,8,В кредите отказано
Елизавета Тильнова,0,950000,195000,95000,10,В кредите отказано
Виктор Мухонкин,1,960000,197000,80000,12,В кредите отказано
Галина Шлеенкина,2,970000,199000,69286,14,В кредите отказано
София Смехнова,3,980000,201000,61250,16,В кредите отказано
Кира Сейдалиева,4,990000,203000,55000,18,В кредите отказано
Руслан Шестов,5,1000000,205000,50000,20,В кредите отказано
Руслан Черевков,6,1010000,207000,45909,22,В кредите отказано
Лиза Изайкина,7,1020000,209000,42500,24,В кредите отказано
Виктор Тымков,8,1030000,211000,39615,26,В кредите отказано
Софья Розгарова,9,1040000,213000,37143,28,В кредите отказано
Клавдия Лисицына,18,50000,0,10000,6,В кредите отказано
Виктория Окуловских,19,50000,500,10800,12,В кредите отказано
Кристина Синьчагова,20,50000,1000,11600,18,В кредите отказано
Андрей Ловякин,21,50000,1500,12400,24,В кредите отказано
Виктор Огладков,22,50000,2000,13200,6,В кредите отказано
Григорий Хулин,23,50000,2500,14000,12,В кредите отказано
Вадим Дайтутов,24,50000,3000,14800,18,В кредите отказано
Ирина Алексаева,25,50000,3500,15600,24,В кредите отказано
Светлана Васякова,26,50000,4000,16400,6,В кредите отказано
Евгения Метянина,27,50000,4500,17200,12,В кредите отказано
Дарья Поматаева,28,50000,5000,18000,18,В кредите отказано
Валентина Абдеева,29,50000,5500,18800,24,В кредите отказано
Николай Юшваев,30,50000,6000,19600,6,В кредите отказано
Герасим Шкуркин,31,50000,6500,20400,12,В кредите отказано
Инна Федышина,32,50000,7000,21200,18,В кредите отказано
София Скипакова,33,50000,7500,22000,24,В кредите отказано
Валентина Алтышева,34,50000,8000,22800,6,В кредите отказано
Маргарита Титлова,35,50000,8500,23600,12,В кредите отказано
Никита Сесин,36,50000,9000,24400,18,В кредите отказано
Валентина Кондрацкая,37,50000,9500,25200,24,В кредите отказано
Людмила Синянкина,38,50000,10000,26000,6,В кредите отказано
Клавдия Некрылова,39,50000,10500,26800,12,В кредите отказано
Кирилл Дужаков,40,50000,11000,27600,18,В кредите отказано
Полина Башкирова,41,50000,11500,28400,24,В кредите отказано
Роман Пьяных,42,50000,12000,29200,6,В кредите отказано
София Турскова,43,50000,12500,30000,12,В кредите отказано
Герасим Рудалев,44,50000,13000,30800,18,В кредите отказано
Борис Беляченков,45,50000,13500,31600,24,В кредите отказано
Антон Губнев,46,50000,14000,32400,6,В кредите отказано
Наталья Завидова,47,50000,14500,33200,12,В кредите отказано
Ярослав Бродинов,48,50000,15000,34000,18,В кредите отказано
Степан Челяпин,49,50000,15500,34800,24,В кредите отказано
Дмитрий Кавторов,50,50000,16000,35600,6,В кредите отказано
Леонид Штенников,51,50000,16500,36400,12,В кредите отказано
Инна Галеева,52,50000,17000,37200,18,В кредите отказано
Клара Лопанина,53,50000,17500,38000,24,В кредите отказано
Надежда Панюхина,54,50000,18000,38800,6,В кредите отказано
Галина Исипова,55,50000,18500,39600,12,В кредите отказано
Юрий Вельгин,56,50000,19000,40400,18,В кредите отказано
Николай Жаринцкий,57,50000,19500,41200,24,В кредите отказано
Федор Щербачов,58,50000,20000,42000,6,В кредите отказано
Дмитрий Самчишин,59,50000,20500,42800,12,В кредите отказано
Семён Кишмишев,60,50000,21000,43600,18,В кредите отказано
Виталий Трубецкий,61,50000,21500,44400,24,В кредите отказано
Екатерина Тентяева,62,50000,22000,45200,6,В кредите отказано
Роман Чистенькин,63,50000,22500,46000,12,В кредите отказано
Ярослав Дроков,64,50000,23000,46800,18,В кредите отказано
Софья Датюкова,18,50000,23500,47600,24,В кредите отказано
Дмитрий Фроловцев,19,50000,24000,48400,6,В кредите отказано
Тарас Пискижов,20,50000,24500,49200,12,В кредите отказано
Юрий Шелатуркин,21,50000,25000,50000,18,В кредите отказано
Оксана Ворохобова,22,50000,25500,50800,24,В кредите отказано
Надежда Плеткина,23,50000,26000,51600,6,В кредите отказано
Алина Деконова,24,50000,26500,52400,12,В кредите отказано
Никита Щербатов,25,50000,27000,53200,18,В кредите отказано
Герасим Савоненков,26,50000,27500,54000,24,В кредите отказано
Борис Горшков,27,50000,28000,54800,6,В кредите отказано
Кирилл Котомин,28,50000,28500,55600,12,В кредите отказано
Руслан Парновский,29,50000,29000,56400,18,В кредите отказано
Кирилл Боголюбов,30,50000,29500,57200,24,В кредите отказано
Наталья Дремемина,31,50000,30000,58000,6,В кредите отказано
Наталия Шкаврова,32,50000,30500,58800,12,В кредите отказано
Александр Дябин,33,50000,31000,59600,18,В кредите отказано
Юлия Сотекова,34,50000,31500,60400,24,В кредите отказано
Виталий Жерин,35,50000,32000,61200,6,В кредите отказано
Алексей Савуцев,36,50000,32500,62000,12,В кредите отказано
Любовь Затейнова,37,50000,33000,62800,18,В кредите отказано
Денис Каменин,38,50000,33500,63600,24,В кредите отказано
Борис Якманов,39,50000,34000,64400,6,В кредите отказано
Эдуард Починалин,40,50000,34500,65200,12,В кредите отказано
Яков Асарин,41,50000,35000,66000,18,В кредите отказано
Софья Каштурова,42,50000,35500,66800,24,В кредите отказано
Степан Северюгин,43,50000,36000,67600,6,В кредите отказано
Марина Жданева,44,50000,36500,68400,12,В кредите отказано
Кристина Лабизова,45,50000,37000,69200,18,В кредите отказано
Михаил Шуняков,46,50000,37500,70000,24,В кредите отказано
Виктория Шиврина,47,50000,38000,70800,6,В кредите отказано
Олег Аникушкин,48,50000,38500,71600,12,В кредите отказано
Галина Чигурова,49,50000,39000,72400,18,В кредите отказано
Тамара Хлебакова,50,50000,39500,73200,24,В кредите отказано
Яков Шипкарев,51,50000,40000,74000,6,В кредите отказано
Алексей Колнутов,52,50000,40500,74800,12,В кредите отказано
Алена Лейтина,53,50000,41000,75600,18,В кредите отказано
Игорь Левнев,54,50000,41500,76400,24,В кредите отказано
Анастасия Губнелова,55,50000,42000,77200,6,В кредите отказано
Артём Шавензов,56,50000,42500,78000,12,В кредите отказано
Анатолий Романцев,57,50000,43000,78800,18,В кредите отказано
Илья Тицнов,58,50000,43500,79600,24,В кредите отказано
Вячеслав Тювин,18,100000,0,80400,12,В кредите отказано
Катерина Шелиханова,19,100000,500,81200,13,В кредите отказано
Николай Никалин,20,100000,1000,82000,14,В кредите отказано
Альберт Телесов,21,100000,1500,82800,15,В кредите отказано
Юлия Мавина,22,100000,2000,83600,16,В кредите отказано
Степан Болуков,23,100000,2500,84400,17,В кредите отказано
Карина Желтякова,24,100000,3000,85200,18,В кредите отказано
Игорь Папшев,25,100000,3500,86000,19,В кредите отказано
Алёна Енихина,26,100000,4000,86800,20,В кредите отказано
Алина Фивюшина,27,100000,4500,87600,21,В кредите отказано
Вадим Мусатов,28,100000,5000,88400,22,В кредите отказано
Раиса Валынова,29,100000,5500,89200,23,В кредите отказано
Григорий Марютенков,30,100000,6000,90000,24,В кредите отказано
Виталий Нянькин,31,100000,6500,90800,25,В кредите отказано
Георгий Алабов,32,100000,7000,91600,26,В кредите отказано
Артур Шевердяков,33,100000,7500,92400,27,В кредите отказано
Станислав Чекменев,34,100000,8000,93200,28,В кредите отказано
Антон Спорышкин,35,100000,8500,94000,29,В кредите отказано
Константин Васильцов,36,100000,9000,94800,30,В кредите отказано
Яков Алимпиев,37,100000,9500,95600,31,В кредите отказано
Клавдия Тимирбаева,38,100000,10000,96400,32,В кредите отказано
Артём Мадудин,39,100000,10500,97200,33,В кредите отказано
Людмила Брусничина,40,100000,11000,98000,34,В кредите отказано
Юлия Петушкина,41,100000,11500,98800,35,В кредите отказано
Алексей Галузов,42,100000,12000,99600,36,В кредите отказано
Дарья Илешина,43,100000,12500,100400,12,В кредите отказано
Валерий Абаршалин,44,100000,13000,101200,13,В кредите отказано
Наталья Кулыманова,45,100000,13500,102000,14,В кредите отказано
Евгений Чеснюков,46,100000,14000,102800,15,В кредите отказано
Вероника Самбикина,47,100000,14500,103600,16,В кредите отказано
Эдуард Мангушев,48,100000,15000,104400,17,В кредите отказано
София Пуряева,49,100000,15500,105200,18,В кредите отказано
Вадим Удовиков,50,100000,16000,106000,19,В кредите отказано
Анатолий Нигматов,51,100000,16500,106800,20,В кредите отказано
Леонид Матюкин,52,100000,17000,107600,21,В кредите отказано
Роман Гритусов,53,100000,17500,108400,22,В кредите отказано
Руслан Рафаев,54,100000,18000,109200,23,В кредите отказано
Анатолий Бинаев,55,100000,18500,110000,24,В кредите отказано
Виктор Дивавин,56,100000,19000,110800,25,В кредите отказано
Людмила Трушитина,57,100000,19500,111600,26,В кредите отказано
Виолетта Добровина,58,100000,20000,112400,27,В кредите отказано
Денис Севагин,59,100000,20500,113200,28,В кредите отказано
Аркадий Гарибин,60,100000,21000,114000,29,В кредите отказано
Геннадий Люкурин,61,100000,21500,114800,30,В кредите отказано
Валерий Сквозняков,62,100000,22000,115600,31,В кредите отказано
Инна Курцова,63,100000,22500,116400,32,В кредите отказано
Галина Ашмарева,64,100000,23000,117200,33,В кредите отказано
Виолетта Мотричкина,18,100000,23500,118000,34,В кредите отказано
Софья Осадина,19,100000,24000,118800,35,В кредите отказано
Тарас Халкионов,20,100000,24500,119600,36,В кредите отказано
Тамара Понынова,21,100000,25000,120400,12,В кредите отказано
Анна Сефарова,22,100000,25500,121200,13,В кредите отказано
Евгений Цибульский,23,100000,26000,122000,14,В кредите отказано
Денис Пунышев,24,100000,26500,122800,15,В кредите отказано
Валентин Конгаров,25,100000,27000,123600,16,В кредите отказано
Андрей Кушлин,26,100000,27500,124400,17,В кредите отказано
Григорий Курманин,27,100000,28000,125200,18,В кредите отказано
Галина Даввыдова,28,100000,28500,126000,19,В кредите отказано
Илья Котов,29,100000,29000,126800,20,В кредите отказано
Алена Чугаева,30,100000,29500,127600,21,В кредите отказано
Алена Подчекаева,31,100000,30000,128400,22,В кредите отказано
Николай Кученев,32,100000,30500,129200,23,В кредите отказано
Алена Егорова,33,100000,31000,130000,24,В кредите отказано
Владислав Мурешов,34,100000,31500,130800,25,В кредите отказано
Андрей Тлемисов,35,100000,32000,131600,26,В кредите отказано
Пётр Сандеров,36,100000,32500,132400,27,В кредите отказано
Вера Калугина,37,100000,33000,133200,28,В кредите отказано
Георгий Гудковский,38,100000,33500,134000,29,В кредите отказано
Кристина Петерукова,39,100000,34000,134800,30,В кредите отказано
Любовь Мокурина,40,100000,34500,135600,31,В кредите отказано
Константин Захлебин,41,100000,35000,136400,32,В кредите отказано
Алла Рассказова,42,100000,35500,137200,33,В кредите отказано
Эдуард Бродский,43,100000,36000,138000,34,В кредите отказано
Пётр Шерлаимов,44,100000,36500,138800,35,В кредите отказано
Наталья Алексишева,45,100000,37000,139600,36,В кредите отказано
Алиса Бузулина,46,100000,37500,140400,12,В кредите отказано
Клавдия Шахторина,47,100000,38000,141200,13,В кредите отказано
Тарас Лисафьев,48,100000,38500,142000,14,В кредите отказано
Игорь Карсницкий,49,100000,39000,142800,15,В кредите отказано
Алиса Чалых,50,100000,39500,143600,16,В кредите отказано
Никита Доринов,51,100000,40000,144400,17,В кредите отказано
Антон Саморуков,52,100000,40500,145200,18,В кредите отказано
Елизавета Швидкова,53,100000,41000,146000,19,В кредите отказано
Дарья Собанчиева,54,100000,41500,146800,20,В кредите отказано
Карина Партина,55,100000,42000,147600,21,В кредите отказано
Инна Полугарова,56,100000,42500,148400,22,В кредите отказано
Вера Палабугина,57,100000,43000,149200,23,В кредите отказано
Борис Крутков,58,100000,43500,150000,24,В кредите отказано
Людмила Евленкова,59,100000,44000,150800,25,В кредите отказано
Светлана Мичунова,60,100000,44500,151600,26,В кредите отказано
Виктор Ильчов,61,100000,45000,152400,27,В кредите отказано
Елена Корявичева,62,100000,45500,153200,28,В кредите отказано
Зинаида Ашкеева,63,100000,46000,154000,29,В кредите отказано
Аркадий Арямкин,64,100000,46500,154800,30,В кредите отказано
Максим Суманов,18,100000,47000,155600,31,В кредите отказано
Светлана Лученинова,19,100000,47500,156400,32,В кредите отказано
Валерия Грункова,20,100000,48000,157200,33,В кредите отказано
Алексей Жегулаев,21,100000,48500,158000,34,В кредите отказано
Алена Луховцева,22,100000,49000,158800,35,В кредите отказано
Вадим Самолкин,23,100000,49500,159600,36,В кредите отказано
Вячеслав Тювин,24,100000,50000,160400,12,В кредите отказано
Катерина Шелиханова,25,100000,50500,161200,13,В кредите отказано
Николай Никалин,26,100000,51000,162000,14,В кредите отказано
Альберт Телесов,27,100000,51500,162800,15,В кредите отказано
Юлия Мавина,28,100000,52000,163600,16,В кредите отказано
Степан Болуков,29,100000,52500,164400,17,В кредите отказано
Карина Желтякова,30,100000,53000,165200,18,В кредите отказано
Игорь Папшев,31,100000,53500,166000,19,В кредите отказано
Алёна Енихина,32,100000,54000,166800,20,В кредите отказано
Алина Фивюшина,33,100000,54500,167600,21,В кредите отказано
Вадим Мусатов,34,100000,55000,168400,22,В кредите отказано
Раиса Валынова,35,100000,55500,169200,23,В кредите отказано
Григорий Марютенков,36,100000,56000,170000,24,В кредите отказано
Виталий Нянькин,37,100000,56500,170800,25,В кредите отказано
Георгий Алабов,38,100000,57000,171600,26,В кредите отказано
Артур Шевердяков,39,100000,57500,172400,27,В кредите отказано
Станислав Чекменев,40,100000,58000,173200,28,В кредите отказано
Антон Спорышкин,41,100000,58500,174000,29,В кредите отказано
Константин Васильцов,42,100000,59000,174800,30,В кредите отказано
Яков Алимпиев,43,100000,59500,175600,31,В кредите отказано
Клавдия Тимирбаева,44,100000,60000,176400,32,В кредите отказано
Артём Мадудин,45,100000,60500,177200,33,В кредите отказано
Людмила Брусничина,46,100000,61000,178000,34,В кредите отказано
Юлия Петушкина,47,100000,61500,178800,35,В кредите отказано
Алексей Галузов,48,100000,62000,179600,36,В кредите отказано
Дарья Илешина,49,100000,62500,180400,12,В кредите отказано
Валерий Абаршалин,50,100000,63000,181200,13,В кредите отказано
Наталья Кулыманова,51,100000,63500,182000,14,В кредите отказано
Евгений Чеснюков,52,100000,64000,182800,15,В кредите отказано
Вероника Самбикина,53,100000,64500,183600,16,В кредите отказано
Эдуард Мангушев,54,100000,65000,184400,17,В кредите отказано
София Пуряева,55,100000,65500,185200,18,В кредите отказано
Вадим Удовиков,56,100000,66000,186000,19,В кредите отказано
Анатолий Нигматов,57,100000,66500,186800,20,В кредите отказано
Леонид Матюкин,58,100000,67000,187600,21,В кредите отказано
Роман Гритусов,59,100000,67500,188400,22,В кредите отказано
Руслан Рафаев,60,100000,68000,189200,23,В кредите отказано
Анатолий Бинаев,61,100000,68500,190000,24,В кредите отказано
Виктор Дивавин,62,100000,69000,190800,25,В кредите отказано
Людмила Трушитина,63,100000,69500,191600,26,В кредите отказано
Виолетта Добровина,64,100000,70000,192400,27,В кредите отказано
Денис Севагин,64,100000,70500,193200,28,В кредите отказано
Аркадий Гарибин,18,100000,71000,194000,29,В кредите отказано
Геннадий Люкурин,19,100000,71500,194800,30,В кредите отказано
Валерий Сквозняков,20,100000,72000,195600,31,В кредите отказано
Инна Курцова,21,100000,72500,196400,32,В кредите отказано
Галина Ашмарева,22,100000,73000,197200,33,В кредите отказано
Виолетта Мотричкина,23,100000,73500,198000,34,В кредите отказано
Софья Осадина,24,100000,74000,198800,35,В кредите отказано
Тарас Халкионов,25,100000,74500,199600,36,В кредите отказано
Тамара Понынова,26,100000,75000,200400,12,В кредите отказано
Анна Сефарова,27,100000,75500,201200,13,В кредите отказано
Евгений Цибульский,28,100000,76000,202000,14,В кредите отказано
Денис Пунышев,29,100000,76500,202800,15,В кредите отказано
Валентин Конгаров,30,100000,77000,203600,16,В кредите отказано
Андрей Кушлин,31,100000,77500,204400,17,В кредите отказано
Григорий Курманин,32,100000,78000,205200,18,В кредите отказано
Галина Даввыдова,33,100000,78500,206000,19,В кредите отказано
Илья Котов,34,100000,79000,206800,20,В кредите отказано
Алена Чугаева,35,100000,79500,207600,21,В кредите отказано
Алена Подчекаева,36,100000,80000,208400,22,В кредите отказано
Николай Кученев,37,100000,80500,209200,23,В кредите отказано
Алена Егорова,38,100000,81000,210000,24,В кредите отказано
Владислав Мурешов,39,100000,81500,210800,25,В кредите отказано
Андрей Тлемисов,40,100000,82000,211600,26,В кредите отказано
Пётр Сандеров,41,100000,82500,212400,27,В кредите отказано
Вера Калугина,42,100000,83000,213200,28,В кредите отказано
Георгий Гудковский,43,100000,83500,214000,29,В кредите отказано
Кристина Петерукова,44,100000,84000,214800,30,В кредите отказано
Любовь Мокурина,45,100000,84500,215600,31,В кредите отказано
Константин Захлебин,46,100000,85000,216400,32,В кредите отказано
Алла Рассказова,47,100000,85500,217200,33,В кредите отказано
Эдуард Бродский,48,100000,86000,218000,34,В кредите отказано
Пётр Шерлаимов,49,100000,86500,218800,35,В кредите отказано
Наталья Алексишева,50,100000,87000,219600,36,В кредите отказано
Алиса Бузулина,51,100000,87500,220400,12,В кредите отказано
Клавдия Шахторина,52,100000,88000,221200,13,В кредите отказано
Тарас Лисафьев,53,100000,88500,222000,14,В кредите отказано
Игорь Карсницкий,54,100000,89000,222800,15,В кредите отказано
Алиса Чалых,55,100000,89500,223600,16,В кредите отказано
Никита Доринов,56,100000,90000,224400,17,В кредите отказано
Антон Саморуков,57,100000,90500,225200,18,В кредите отказано
Елизавета Швидкова,58,100000,91000,226000,19,В кредите отказано
Дарья Собанчиева,59,100000,91500,226800,20,В кредите отказано
Карина Партина,60,100000,92000,227600,21,В кредите отказано
Инна Полугарова,61,100000,92500,228400,22,В кредите отказано
Вера Палабугина,62,100000,93000,229200,23,В кредите отказано
Борис Крутков,63,100000,93500,230000,24,В кредите отказано
Людмила Евленкова,64,100000,94000,230800,25,В кредите отказано
Светлана Мичунова,18,100000,94500,231600,26,В кредите отказано
Виктор Ильчов,19,100000,95000,232400,27,В кредите отказано
Елена Корявичева,20,100000,95500,233200,28,В кредите отказано
Зинаида Ашкеева,21,100000,96000,234000,29,В кредите отказано
Аркадий Арямкин,22,100000,96500,234800,30,В кредите отказано
Максим Суманов,23,100000,97000,235600,31,В кредите отказано
Светлана Лученинова,24,100000,97500,236400,32,В кредите отказано
Валерия Грункова,25,100000,98000,237200,33,В кредите отказано
Алексей Жегулаев,26,100000,98500,238000,34,В кредите отказано
Алена Луховцева,27,100000,99000,238800,35,В кредите отказано
Вадим Самолкин,28,100000,99500,239600,36,В кредите отказано
Галина Сидгияева,18,200000,15000,240400,12,В кредите отказано
Виталий Щигорев,19,200000,15250,241200,13,В кредите отказано
Кирилл Машицкий,20,200000,15500,242000,14,В кредите отказано
Инна Просвирова,21,200000,15750,242800,15,В кредите отказано
Иван Кутыров,22,200000,16000,243600,16,В кредите отказано
Валерия Аредова,23,200000,16250,244400,17,В кредите отказано
Герасим Каминов,24,200000,16500,245200,18,В кредите отказано
Роман Неугодов,25,200000,16750,246000,19,В кредите отказано
Денис Саневский,26,200000,17000,246800,20,В кредите отказано
Лариса Савашина,27,200000,17250,247600,21,В кредите отказано
Ольга Мытенкова,28,200000,17500,248400,22,В кредите отказано
Альберт Гелахов,29,200000,17750,249200,23,В кредите отказано
Виталий Шадлов,30,200000,18000,250000,24,В кредите отказано
Юлия Добрыдина,31,200000,18250,250800,25,В кредите отказано
Руслан Катаманин,32,200000,18500,251600,26,В кредите отказано
Катерина Дигитаева,33,200000,18750,252400,27,В кредите отказано
Полина Друзьякина,34,200000,19000,253200,28,В кредите отказано
Леонид Шеленин,35,200000,19250,254000,29,В кредите отказано
Вероника Ходыпева,36,200000,19500,254800,30,В кредите отказано
Вероника Биченова,37,200000,19750,255600,31,В кредите отказано
Геннадий Песегов,38,200000,20000,256400,32,В кредите отказано
Инна Земнцова,39,200000,20250,257200,33,В кредите отказано
Евгений Ивинских,40,200000,20500,258000,34,В кредите отказано
Оксана Алихашкина,41,200000,20750,258800,35,В кредите отказано
Никита Канцуров,42,200000,21000,259600,36,В кредите отказано
Ирина Цацарина,43,200000,21250,260400,12,В кредите отказано
Станислав Грибин,44,200000,21500,261200,13,В кредите отказано
Вера Озисова,45,200000,21750,262000,14,В кредите отказано
Иван Гармакнов,46,200000,22000,262800,15,В кредите отказано
Борис Шаршунов,47,200000,22250,263600,16,В кредите отказано
Семён Горбачев,48,200000,22500,264400,17,В кредите отказано
Лиза Энеева,49,200000,22750,265200,18,В кредите отказано
Федор Шелупаев,50,200000,23000,266000,19,В кредите отказано
Тарас Альгин,51,200000,23250,266800,20,В кредите отказано
Тамара Михалихина,52,200000,23500,267600,21,В кредите отказано
Лариса Бердышева,53,200000,23750,268400,22,В кредите отказано
Лариса Мозжорина,54,200000,24000,269200,23,В кредите отказано
Наталия Курчекова,55,200000,24250,270000,24,В кредите отказано
Альберт Шнурков,56,200000,24500,270800,25,В кредите отказано
Анатолий Катенев,57,200000,24750,271600,26,В кредите отказано
Григорий Плешеков,58,200000,25000,272400,27,В кредите отказано
Борис Биевецкий,59,200000,25500,273200,28,В кредите отказано
Анастасия Емогулова,60,200000,26000,274000,29,В кредите отказано
Вероника Гриванова,61,200000,26500,274800,30,В кредите отказано
Иван Строгалев,62,200000,27000,275600,31,В кредите отказано
Катерина Торонцова,63,200000,27500,276400,32,В кредите отказано
Виолетта Стриткова,64,200000,28000,277200,33,В кредите отказано
Катерина Моллаева,18,200000,28500,278000,34,В кредите отказано
Екатерина Савцова,19,200000,29000,278800,35,В кредите отказано
София Сваина,20,200000,29500,279600,36,В кредите отказано
Раиса Гущинская,21,200000,30000,280400,12,В кредите отказано
Ева Мархасева,22,200000,30500,281200,13,В кредите отказано
Лариса Таршилова,23,200000,31000,282000,14,В кредите отказано
Ярослав Санакоев,24,200000,31500,282800,15,В кредите отказано
Семён Смородинов,25,200000,32000,283600,16,В кредите отказано
Андрей Скопинский,26,200000,32500,284400,17,В кредите отказано
Виктор Хрошин,27,200000,33000,285200,18,В кредите отказано
Михаил Рудаков,28,200000,33500,286000,19,В кредите отказано
Тамара Дондакова,29,200000,34000,286800,20,В кредите отказано
Юрий Татлыбаев,30,200000,34500,287600,21,В кредите отказано
Алиса Сунеева,31,200000,35000,288400,22,В кредите отказано
Владислав Бубикин,32,200000,35500,289200,23,В кредите отказано
